湖南卫视,rtp://239.254.104.15:8064
浙江卫视,rtp://239.254.104.18:8082
江苏卫视,rtp://239.254.104.17:8076
东方卫视,rtp://239.254.104.2:7986
北京卫视,rtp://239.254.104.16:8070
广东卫视,rtp://239.254.104.22:8106
深圳卫视,rtp://239.254.104.34:8178
黑龙江卫视,rtp://239.254.104.92:8526
天津卫视,rtp://239.254.104.29:8148
山东卫视,rtp://239.254.104.21:8100
安徽卫视,rtp://239.254.104.20:8094
辽宁卫视,rtp://239.254.104.19:8088
宁夏卫视,rtp://239.254.104.97:8556
广西卫视,rtp://239.254.104.23:8112
海南卫视,rtp://239.254.104.24:8118
重庆卫视,rtp://239.254.104.25:8124
东南卫视,rtp://239.254.104.26:8130
江西卫视,rtp://239.254.104.27:8136
河南卫视,rtp://239.254.104.28:8142
四川卫视,rtp://239.254.104.90:8514
吉林卫视,rtp://239.254.104.91:8520
山西卫视,rtp://239.254.104.93:8532
云南卫视,rtp://239.254.104.30:8154
贵州卫视,rtp://239.254.104.31:8160
西藏卫视,rtp://239.254.104.35:8184
内蒙古卫视,rtp://239.254.104.41:8220
新疆卫视,rtp://239.254.104.47:8256
兵团卫视,rtp://239.254.104.48:8262
青海卫视,rtp://239.254.104.95:8544
河北卫视,rtp://239.254.104.185:9190
陕西卫视,rtp://239.254.104.186:9196
甘肃卫视,rtp://239.254.104.187:9202
卡酷动画,rtp://239.254.104.188:9208
金鹰卡通,rtp://239.254.104.189:9214
三沙卫视,rtp://239.69.1.171:10662
中国教育2,rtp://239.69.1.183:10734
中国教育4,rtp://239.69.1.175:10686
金色频道 rtsp://27.31.203.18:554
都市剧场,rtp://239.254.104.33:8172
生活时尚,rtp://239.254.104.49:8268
动漫秀场,rtp://239.254.104.36:8190
哈哈炫动,rtp://239.254.104.14:8058
嘉佳卡通,rtp://239.254.104.136:8890
全纪实,rtp://239.254.104.38:8202
法治天地,rtp://239.254.104.39:8208
七彩戏剧,rtp://239.254.104.40:8214
游戏风云,rtp://239.254.104.43:8232
中国天气,rtp://239.254.104.94:8538
纪实人文,rtp://239.254.104.251:9586
休闲指南,rtp://239.254.104.213:9358
武术世界,rtp://239.254.104.191:9226
环球奇观,rtp://239.254.104.192:9232
国学频道,rtp://239.254.104.194:9244
DV生活,rtp://239.254.104.196:9256
游戏竞技,rtp://239.254.104.197:9262
早期教育,rtp://239.254.104.199:9274
梨园,rtp://239.254.104.206:9316
卫生健康,rtp://239.254.104.207:9322
靓妆,rtp://239.254.104.208:9328
彩民在线,rtp://239.254.104.209:9334
财富天下,rtp://239.254.104.210:9340
熊猫频道,rtp://239.69.1.127:10400
极速汽车,rtp://239.254.104.44:8238
东方财经,rtp://239.254.104.50:8274
怀旧剧场,rtp://239.69.1.89:10174
风云音乐,rtp://239.69.1.90:10180
快乐垂钓HD,rtp://239.69.1.142:10488
