直播室109,rtp://239.61.5.20:1025
直播室110,rtp://239.61.5.21:1025
直播室111,rtp://239.61.5.22:1025
网络通道1HD,rtp://239.61.5.197:1025
网络通道2HD,rtp://239.61.5.198:1025
网络通道3HD,rtp://239.61.5.199:1025
CCTV-1,rtp://239.61.4.15:1025
网络通道4HD,rtp://239.61.5.200:1025
网络通道5HD,rtp://239.61.5.201:1025
网络通道6HD,rtp://239.61.5.202:1025
新闻综合广播,rtp://239.61.5.154:1025
交通广播,rtp://239.61.5.155:1025
数字中国4K频道,rtp://239.61.5.181:1025
数字中国高清频道,rtp://239.61.5.182:1025
福建综合,rtp://239.61.4.1:1025
党建频道,rtp://239.61.5.50:1025
党建频道2,rtp://239.61.5.57:1025
