大陆频道,#genre#
HBO Hits HD,http://lzoq.serv00.net/daili/Smartv.php?id=Hbohits  
HBO HD,http://lzoq.serv00.net/daili/Smartv.php?id=Hbo  
HBO Signature,http://lzoq.serv00.net/daili/Smartv.php?id=Hbosignature  
NatGeo Wild HD,http://lzoq.serv00.net/daili/Smartv.php?id=Natgeowild  
Cartoon Network,http://lzoq.serv00.net/daili/Smartv.php?id=Cn  
Nickelodeon,http://lzoq.serv00.net/daili/Smartv.php?id=Nickelodeon  
Nick Jr,http://lzoq.serv00.net/daili/Smartv.php?id=Nickjr  
Dreamworks,http://lzoq.serv00.net/daili/Smartv.php?id=Dreamworks    
华丽台 HD （Wah Lai Toi）,http://lzoq.serv00.net/daili/Smartv.php?id=Wlt  
欢喜台 HD （Hua Hee Tai）,http://lzoq.serv00.net/daili/Smartv.php?id=Huahee  
欢喜台 backup,http://lzoq.serv00.net/daili/Smartv.php?id=Huahee_backup  
TVB 星河台 Xing He,http://lzoq.serv00.net/daili/Smartv.php?id=Xinhe  
爱奇艺 iQiyi,http://lzoq.serv00.net/daili/Smartv.php?id=Qiyi  
龙详时代,http://lzoq.serv00.net/daili/Smartv.php?id=lungxiangtime_twn  
Animax,http://lzoq.serv00.net/daili/Smartv.php?id=Animax  
Movies Now HD,http://lzoq.serv00.net/daili/Smartv.php?id=moviesnow_raj  
Star Movies HD,http://lzoq.serv00.net/daili/Smartv.php?id=starmovies_raj  
卫视中文台 Star Movies Chinese,http://lzoq.serv00.net/daili/Smartv.php?id=weishichinese_twn  
HBO Family,http://lzoq.serv00.net/daili/Smartv.php?id=Hbofamily  
HBO Hits HD,http://lzoq.serv00.net/daili/Smartv.php?id=Hbohits  
HBO HD,http://lzoq.serv00.net/daili/Smartv.php?id=Hbo  
卫视电影台,http://lzoq.serv00.net/daili/Smartv.php?id=weishimovie_twn  
HBO Signature,http://lzoq.serv00.net/daili/Smartv.php?id=Hbosignature  
Hits,http://lzoq.serv00.net/daili/Smartv.php?id=Hits  
Warner TV,http://lzoq.serv00.net/daili/Smartv.php?id=WarnerTV  
美亚电影,http://lzoq.serv00.net/daili/Smartv.php?id=meiyamovie_twn  
星卫电影,http://lzoq.serv00.net/daili/Smartv.php?id=xingwei_movie    
Hits Movie,http://lzoq.serv00.net/daili/Smartv.php?id=Hitsmovie  
tvN Movie,http://lzoq.serv00.net/daili/Smartv.php?id=Tvnmovie
DW (Deutsch),http://lzoq.serv00.net/daili/Smartv.php?id=dw_twn  
NHK World,http://lzoq.serv00.net/daili/Smartv.php?id=nhkworld_japan  
CCTV-5 体育频道,http://lzoq.serv00.net/daili/Smartv.php?id=cctv5  
CCTV-5+ 体育赛事 HD,http://lzoq.serv00.net/daili/Smartv.php?id=cctv5plus  
爱尔达体育2台,http://lzoq.serv00.net/daili/Smartv.php?id=eltasport2_twn  
爱尔达体育3台,http://lzoq.serv00.net/daili/Smartv.php?id=eltasport3_twn  

Taiwan,#genre#  
TVBS News 新闻台,http://lzoq.serv00.net/daili/Smartv.php?id=tvbs_n  
东森财经新闻 ETTV Business,http://lzoq.serv00.net/daili/Smartv.php?id=ettvcaijing_twn
TVBS 欢乐台 （备份）,http://lzoq.serv00.net/daili/Smartv.php?id=tvbshuanle_twn  
TVBS HD,http://lzoq.serv00.net/daili/Smartv.php?id=tvbs  
中天新闻 HD,http://lzoq.serv00.net/daili/Smartv.php?id=ctinews  
中天娱乐 CTI Entertaiment,http://lzoq.serv00.net/daili/Smartv.php?id=ctient  
中天综合 CTI Metro,http://lzoq.serv00.net/daili/Smartv.php?id=ctizhonghe  
中天亚洲台,http://lzoq.serv00.net/daili/Smartv.php?id=ctiasia_twn  
台视 TTV HD,http://lzoq.serv00.net/daili/Smartv.php?id=ttv_taiwan  
台视新闻台,http://lzoq.serv00.net/daili/Smartv.php?id=ttvnews_twn  
台视综合台,http://lzoq.serv00.net/daili/Smartv.php?id=ttvzhonghe_twn  
中视 HD,http://lzoq.serv00.net/daili/Smartv.php?id=zhongshihd_twn  
中视新闻台,http://lzoq.serv00.net/daili/Smartv.php?id=zhongshinews_twn  
民视 HD,http://lzoq.serv00.net/daili/Smartv.php?id=ftvhd_taiwan  
民视新闻台 FTV News,http://lzoq.serv00.net/daili/Smartv.php?id=ftvnew_taiwan  
民视台湾台,http://lzoq.serv00.net/daili/Smartv.php?id=ftvtaiwan_twn  
华视 CTS HD,http://lzoq.serv00.net/daili/Smartv.php?id=ctshd_twn  
公视 CTV,http://lzoq.serv00.net/daili/Smartv.php?id=ctv_taiwan  
八大第一 GTV First,http://lzoq.serv00.net/daili/Smartv.php?id=badafirst  
八大综合 GTV Metro,http://lzoq.serv00.net/daili/Smartv.php?id=badazhonghe  
八大戏剧 GTV Drama,http://lzoq.serv00.net/daili/Smartv.php?id=badadrama  
八大娱乐 GTV Entertainment,http://lzoq.serv00.net/daili/Smartv.php?id=badaentertain  
HBO_HD,http://lzoq.serv00.net/daili/Smartv.php?id=hbohd_twn
HBO_HITS,http://lzoq.serv00.net/daili/Smartv.php?id=hbohits_twn
Hollywood Movies,http://lzoq.serv00.net/daili/Smartv.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://lzoq.serv00.net/daili/Smartv.php?id=sanlitaiwan
三立戏剧台,http://lzoq.serv00.net/daili/Smartv.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://lzoq.serv00.net/daili/Smartv.php?id=sanlizhonghe
三立都会台,http://lzoq.serv00.net/daili/Smartv.php?id=sanlidouhui
东森新闻 ETTV News,http://lzoq.serv00.net/daili/Smartv.php?id=ettvnews
CINEMAX,http://lzoq.serv00.net/daili/Smartv.php?id=cinemax_twn
东森综合 ETTV Metro,http://lzoq.serv00.net/daili/Smartv.php?id=ettvzhonghe
东森戏剧 ETTV Drama,http://lzoq.serv00.net/daili/Smartv.php?id=ettvdrama
东森超视,http://lzoq.serv00.net/daili/Smartv.php?id=ettvsuper
东森财经新闻 ETTV Business,http://lzoq.serv00.net/daili/Smartv.php?id=ettvcaijing_twn
寰宇财经,http://lzoq.serv00.net/daili/Smartv.php?id=huanyutaiwan_twn
寰宇新闻台,http://lzoq.serv00.net/daili/Smartv.php?id=huanyuxinwen_twn
大爱1台,http://lzoq.serv00.net/daili/Smartv.php?id=daai_twn
非凡新闻台,http://lzoq.serv00.net/daili/Smartv.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,http://lzoq.serv00.net/daili/Smartv.php?id=lunghuaxiju_twn
龙华戏剧台,http://lzoq.serv00.net/daili/Smartv.php?id=lunghuaxiju_twn
龙华经典台,http://lzoq.serv00.net/daili/Smartv.php?id=lunghuajingdian_twn
龙华偶像,http://lzoq.serv00.net/daili/Smartv.php?id=lunghuaidol_twn
AXN Taiwan,http://lzoq.serv00.net/daili/Smartv.php?id=axn_twn
靖天国际台,http://lzoq.serv00.net/daili/Smartv.php?id=jingtianintl_twn
年代新闻,http://lzoq.serv00.net/daili/Smartv.php?id=niandainews_twn
纬来日本台,http://lzoq.serv00.net/daili/Smartv.php?id=videolandjapan
纬来电影台,http://lzoq.serv00.net/daili/Smartv.php?id=videolandmovie_twn
纬来体育台,http://lzoq.serv00.net/daili/Smartv.php?id=videolandsport
纬来综合台,http://lzoq.serv00.net/daili/Smartv.php?id=videolandzonghe
纬来育乐,http://lzoq.serv00.net/daili/Smartv.php?id=videolandyule
纬来精彩,http://lzoq.serv00.net/daili/Smartv.php?id=videolandspecial_twn
好消息 2,http://lzoq.serv00.net/daili/Smartv.php?id=goods_twn
大爱2台,http://lzoq.serv00.net/daili/Smartv.php?id=catchplay_twn
亚洲美食,http://lzoq.serv00.net/daili/Smartv.php?id=afc_twn
美食星球,http://lzoq.serv00.net/daili/Smartv.php?id=foodplanet_twn
亚洲旅游 TLC Asia,http://lzoq.serv00.net/daili/Smartv.php?id=tlc_twn
东森电影 ETTV Movie,http://lzoq.serv00.net/daili/Smartv.php?id=ettvmovie
阿里郎 Arirang,http://lzoq.serv00.net/daili/Smartv.php?id=arirang_twn
博斯运动 1,http://lzoq.serv00.net/daili/Smartv.php?id=bosisport1_twn
博斯运动 2,http://lzoq.serv00.net/daili/Smartv.php?id=bosisport2_twn
博斯高球2 HD,http://lzoq.serv00.net/daili/Smartv.php?id=bosigolf2_twn
博斯网球 HD,http://lzoq.serv00.net/daili/Smartv.php?id=bositennis_twn
东森洋片 ETTV Western,http://lzoq.serv00.net/daili/Smartv.php?id=ettvwestern
龙华洋片 Lunghua Western,http://lzoq.serv00.net/daili/Smartv.php?id=lunghuawestern_twn
博斯无限,http://lzoq.serv00.net/daili/Smartv.php?id=bosiunlimited_twn
MTV Live,http://lzoq.serv00.net/daili/Smartv.php?id=mtvhd_twn
龙详时代,http://lzoq.serv00.net/daili/Smartv.php?id=lungxiangtime_twn
EYETV 旅游,http://lzoq.serv00.net/daili/Smartv.php?id=eyetvtravel_twn
靖天卡通台,http://lzoq.serv00.net/daili/Smartv.php?id=jingtiancartoon_twn
EYETV 戏剧,http://lzoq.serv00.net/daili/Smartv.php?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,http://lzoq.serv00.net/daili/Smartv.php?id=weishichinese_twn
东森幼幼 Yoyo TV,http://lzoq.serv00.net/daili/Smartv.php?id=yoyo_twn
卫视电影台,http://lzoq.serv00.net/daili/Smartv.php?id=weishimovie_twn
美亚电影,http://lzoq.serv00.net/daili/Smartv.php?id=meiyamovie_twn
爱尔达影剧台,http://lzoq.serv00.net/daili/Smartv.php?id=eltayingju_twn
爱尔达综合台,http://lzoq.serv00.net/daili/Smartv.php?id=eltazonghe_twn
星卫电影,http://lzoq.serv00.net/daili/Smartv.php?id=xingwei_movie
爱尔达影剧,http://lzoq.serv00.net/daili/Smartv.php?id=eltayingju_twn
爱尔达体育2台,http://lzoq.serv00.net/daili/Smartv.php?id=eltasport2_twn
爱尔达体育3台,http://lzoq.serv00.net/daili/Smartv.php?id=eltasport3_twn
AFC 亚洲旅游台,http://lzoq.serv00.net/daili/Smartv.php?id=asiatravel_twn
CCTV1,http://xn--94q.l5.ca/daili/Smartv.php?id=cctv1
CCTV1,http://php.jdshipin.com:8880/smt.php?id=cctv1
CCTV5+,http://php.jdshipin.com:8880/smt.php?id=cctv5p
重庆卫视,http://php.jdshipin.com:8880/smt.php?id=cqws
重庆卫视,http://xn--94q.l5.ca/daili/Smartv.php?id=cqws
Cinemax,http://xn--94q.l5.ca/daili/Smartv.php?id=cinemax_twn
EYE戏剧,http://xn--94q.l5.ca/daili/Smartv.php?id=eyetvxiju_twn
EYE旅游,http://xn--94q.l5.ca/daili/Smartv.php?id=eyetvtravel_twn
HBO,http://xn--94q.l5.ca/daili/Smartv.php?id=hbohd_twn
HBO Family,http://xn--94q.l5.ca/daili/Smartv.php?id=fyi_twn
好莱坞电影,http://xn--94q.l5.ca/daili/Smartv.php?id=hollywoodmovies_twn
MTV Live,http://xn--94q.l5.ca/daili/Smartv.php?id=mtvhd_twn
TLC,http://xn--94q.l5.ca/daili/Smartv.php?id=tlc_twn
东森新闻,http://xn--94q.l5.ca/daili/Smartv.php?id=ettvnews
TVBS HD,http://xn--94q.l5.ca/daili/Smartv.php?id=tvbs
TVBS新闻,http://xn--94q.l5.ca/daili/Smartv.php?id=tvbs_n
TVBS欢乐,http://xn--94q.l5.ca/daili/Smartv.php?id=tvbshuanle_twn
三立台湾,http://xn--94q.l5.ca/daili/Smartv.php?id=sanlitaiwan
三立戏剧,http://xn--94q.l5.ca/daili/Smartv.php?id=sanlixiju_twn
三立综合,http://xn--94q.l5.ca/daili/Smartv.php?id=sanlizhonghe
中天亚洲,http://xn--94q.l5.ca/daili/Smartv.php?id=ctiasia_twn
中天娱乐,http://xn--94q.l5.ca/daili/Smartv.php?id=ctient
中天新闻,http://xn--94q.l5.ca/daili/Smartv.php?id=ctinews
中天综合,http://xn--94q.l5.ca/daili/Smartv.php?id=ctizhonghe
亚洲旅游,http://xn--94q.l5.ca/daili/Smartv.php?id=asiatravel_twn
