CCTV1HD,rtp/239.49.8.19:9614
江苏体育休闲,http://121.235.137.54:4000/rtp/239.49.0.19:8144
江苏影视,http://121.235.137.54:4000/rtp/239.49.0.20:8152
优漫卡通,http://121.235.137.54:4000/rtp/239.49.0.21:8160
江苏公共新闻,http://121.235.137.54:4000/rtp/239.49.0.149:9186
江苏国际,http://121.235.137.54:4000/rtp/239.49.0.22:8168
好享购物,http://121.235.137.54:4000/rtp/239.49.0.148:9178
江苏教育,http://121.235.137.54:4000/rtp/239.49.0.23:8176
靓妆频道,http://121.235.137.54:4000/rtp/239.49.0.150:9194
南京新闻,http://121.235.137.54:4000/rtp/239.49.0.25:8192
南京十八,http://121.235.137.54:4000/rtp/239.49.0.26:8200
南京教科,http://121.235.137.54:4000/rtp/239.49.0.183:9434
南京生活,http://121.235.137.54:4000/rtp/239.49.0.184:9438
央广购物,http://121.235.137.54:4000/rtp/239.49.0.110:9014
快乐购物,http://121.235.137.54:4000/rtp/239.49.0.144:9370
财富天下,http://121.235.137.54:4000/rtp/239.49.0.166:9322
学习频道,http://121.235.137.54:4000/rtp/239.49.0.210:8884
东方卫视,http://121.235.137.54:4000/rtp/239.49.0.48:8376
北京卫视,http://121.235.137.54:4000/rtp/239.49.0.49:8384
浙江卫视,http://121.235.137.54:4000/rtp/239.49.0.50:8392
辽宁卫视,http://121.235.137.54:4000/rtp/239.49.0.51:8400
安徽卫视,http://121.235.137.54:4000/rtp/239.49.0.52:8408
山东卫视,http://121.235.137.54:4000/rtp/239.49.0.53:8416
湖南卫视,http://121.235.137.54:4000/rtp/239.49.0.54:8424
广东卫视,http://121.235.137.54:4000/rtp/239.49.0.55:8432
广西卫视,http://121.235.137.54:4000/rtp/239.49.0.56:8440
旅游卫视,http://121.235.137.54:4000/rtp/239.49.0.57:8448
重庆卫视,http://121.235.137.54:4000/rtp/239.49.0.58:8456
四川卫视,http://121.235.137.54:4000/rtp/239.49.0.59:8464
河南卫视,http://121.235.137.54:4000/rtp/239.49.0.60:8472
东南卫视,http://121.235.137.54:4000/rtp/239.49.0.61:8480
天津卫视,http://121.235.137.54:4000/rtp/239.49.0.62:8488
江西卫视,http://121.235.137.54:4000/rtp/239.49.0.63:8496
湖北卫视,http://121.235.137.54:4000/rtp/239.49.0.64:8504
吉林卫视,http://121.235.137.54:4000/rtp/239.49.0.65:8512
黑龙江卫视,http://121.235.137.54:4000/rtp/239.49.0.66:8520
山西卫视,http://121.235.137.54:4000/rtp/239.49.0.67:8528
贵州卫视,http://121.235.137.54:4000/rtp/239.49.0.68:8536
青海卫视,http://121.235.137.54:4000/rtp/239.49.0.69:8544
CETV1,http://121.235.137.54:4000/rtp/239.49.0.70:8552
CETV2,http://121.235.137.54:4000/rtp/239.49.0.71:8560
空中课堂,http://121.235.137.54:4000/rtp/239.49.0.72:8568
深圳卫视,http://121.235.137.54:4000/rtp/239.49.0.100:8788
电视指南,http://121.235.137.54:4000/rtp/239.49.0.161:9282
风云足球,http://121.235.137.54:4000/rtp/239.49.0.153:9218
高尔夫网球,http://121.235.137.54:4000/rtp/239.49.0.154:9226
世界地理,http://121.235.137.54:4000/rtp/239.49.0.155:9234
国防军事,http://121.235.137.54:4000/rtp/239.49.0.160:9274
风云剧场,http://121.235.137.54:4000/rtp/239.49.0.152:9210
央视精品,http://121.235.137.54:4000/rtp/239.49.0.156:9242
央视怀旧剧场,http://121.235.137.54:4000/rtp/239.49.0.157:9250
风云音乐,http://121.235.137.54:4000/rtp/239.49.0.151:9202
女性时尚,http://121.235.137.54:4000/rtp/239.49.0.159:9266
中华美食,http://121.235.137.54:4000/rtp/239.49.0.163:9298
辽宁游戏竞技,http://121.235.137.54:4000/rtp/239.49.0.162:9290
休闲指南,http://121.235.137.54:4000/rtp/239.49.0.213:9562
快乐垂钓,http://121.235.137.54:4000/rtp/239.49.0.114:8000
江苏导视,http://121.235.137.54:4000/rtp/239.49.0.190:9458
看新闻吧,http://121.235.137.54:4000/rtp/239.49.0.191:9462
体坛风云,http://121.235.137.54:4000/rtp/239.49.0.205:9518
搏击俱乐部,http://121.235.137.54:4000/rtp/239.49.0.121:9972
第一剧场,http://121.235.137.54:4000/rtp/239.49.0.44:8000
游戏达人,http://121.235.137.54:4000/rtp/239.49.0.209:9534
火爆片场,http://121.235.137.54:4000/rtp/239.49.0.192:9466
华语片场,http://121.235.137.54:4000/rtp/239.49.0.193:9470
生活剧场,http://121.235.137.54:4000/rtp/239.49.0.194:9474
金庸武侠,http://121.235.137.54:4000/rtp/239.49.0.195:9478
谍战悬疑,http://121.235.137.54:4000/rtp/239.49.0.196:9482
超炫动漫,http://121.235.137.54:4000/rtp/239.49.0.200:9498
娱乐秀场,http://121.235.137.54:4000/rtp/239.49.0.203:9510
随音听乐,http://121.235.137.54:4000/rtp/239.49.0.204:9514
凤凰天下,http://121.235.137.54:4000/rtp/239.49.0.197:9486
寰宇纪实,http://121.235.137.54:4000/rtp/239.49.0.201:9502
史海钩沉,http://121.235.137.54:4000/rtp/239.49.0.198:9490
谈股论金,http://121.235.137.54:4000/rtp/239.49.0.206:9522
养生,http://121.235.137.54:4000/rtp/239.49.0.199:9494
时尚女人,http://121.235.137.54:4000/rtp/239.49.0.208:9530
铁血军事,http://121.235.137.54:4000/rtp/239.49.0.202:9506
举案说法,http://121.235.137.54:4000/rtp/239.49.0.207:9526
体彩玩法直播,http://121.235.137.54:4000/rtp/239.49.0.111:8880,,
